FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728277200000,60,1,0,dn,dn,-0.07,-0.21,nm,mv,0.6715,1.3603
1728277500000,65,1,0,dn,dn,-0.11,-0.19,mv,mv,1.0307,1.2682
1728277800000,70,1,0,dn,dn,-0.03,-0.08,nm,nm,0.2573,0.5411
1728278100000,75,1,0,dn,dn,-0.05,-0.35,nm,mv,0.516,2.2603
1728278400000,80,1,0,dn,dn,0,-0.19,nm,mv,0,1.1985
1728278700000,85,1,0,dn,dn,-0.3,-0.24,mv,mv,7.318,1.629
1728279000000,90,1,0,up,up,0.11,0.14,mv,nm,1.1175,0.8661
1728279300000,95,1,0,dn,dn,-0.05,0,nm,nm,0.4005,0
1728279600000,100,1,0,up,up,0.08,0.01,nm,nm,0.6498,0.0686
1728279900000,105,1,0,dn,dn,-0.03,-0.24,nm,mv,0.2255,1.6333
1728280200000,110,1,0,dn,dn,-0.04,-0.11,nm,nm,0.3011,0.7486
1728280500000,115,1,0,dn,up,-0.17,0.15,mv,mv,1.287,1.0282
1728280800000,120,1,0,up,up,0.1,0.17,mv,mv,1.0875,1.1666
1728281100000,125,1,0,up,dn,0.22,-0.17,mv,mv,2.4524,1.1809
1728281400000,130,1,0,dn,dn,-0.15,-0.27,mv,mv,1.2118,1.7805
1728281700000,135,1,0,dn,up,-0.24,0.26,mv,mv,1.7607,1.6668
1728282600000,150,1,0,up,up,0.12,0.17,mv,mv,0.7444,1.0827
1728282900000,155,1,0,up,dn,0.38,-0.1,mv,nm,2.1976,0.6461
1728284100000,175,1,0,dn,dn,-0.33,-0.88,mv,mv,1.5659,5.0755
1728284400000,180,1,0,dn,dn,-0.15,-0.83,mv,mv,0.5837,4.6479
1728285000000,190,1,0,dn,dn,-0.4,-0.8,mv,mv,1.6621,4.5151
1728285300000,195,1,0,dn,dn,-0.28,-0.29,mv,mv,1.0296,1.1339
1728285600000,200,1,0,dn,dn,-0.12,-0.51,mv,mv,0.4353,1.6739
1728285900000,205,1,0,up,dn,0.11,-0.39,mv,mv,0.4295,1.1498
1728286200000,210,1,0,dn,dn,-0.5,-0.05,mv,nm,2.9867,0.148
1728286500000,215,1,0,dn,up,0,0.19,nm,mv,0,0.5487
1728286800000,220,1,0,up,dn,0.45,-0.01,mv,nm,2.0873,0.0287
1728287100000,225,1,0,dn,up,-0.26,0.04,mv,nm,0.8682,0.1172
1728287400000,230,1,0,dn,up,-0.2,0.34,mv,mv,0.6732,0.9701
1728287700000,235,1,0,up,up,0.5,0.45,mv,mv,1.6582,1.2863
1728288000000,240,1,0,up,dn,0.04,-0.19,nm,mv,0.1089,0.5364
1728288300000,245,1,0,dn,dn,-0.09,-0.16,nm,mv,0.3072,0.4275
1728288600000,250,1,0,dn,dn,-0.14,0,mv,nm,0.4677,0
1728288900000,255,1,0,up,up,0.07,0.4,nm,mv,0.277,1.0349
1728289200000,260,1,0,up,dn,0.07,-0.13,nm,nm,0.3037,0.3363
1728289500000,265,1,0,up,dn,0.26,-0.21,mv,mv,1.2603,0.5419
1728289800000,270,1,0,dn,dn,-0.46,-0.78,mv,mv,3.5748,1.9646
1728290100000,275,1,0,dn,dn,-0.01,-0.24,nm,mv,0.0445,0.6159
1728290400000,280,1,0,dn,dn,-0.31,-0.47,mv,mv,1.3833,1.2067
1728290700000,285,1,0,up,dn,0.08,-0.72,nm,mv,0.3261,1.8953
1728291000000,290,1,0,dn,dn,-0.24,-0.98,mv,mv,0.9746,2.8427
1728291300000,295,1,0,dn,dn,-0.56,-0.67,mv,mv,2.2788,2.1188
1728291600000,300,1,0,dn,dn,-0.18,-0.18,mv,mv,0.7914,0.5235
1728291900000,305,1,0,up,dn,0.07,-0.22,nm,mv,0.3375,0.5693
1728292200000,310,1,0,dn,dn,-0.07,-0.44,nm,mv,0.316,1.098
1728292500000,315,1,0,dn,dn,-0.22,-0.09,mv,nm,1.0098,0.2253
1728292800000,320,1,0,dn,up,-0.15,0.27,mv,mv,0.7802,0.6939
1728293100000,325,1,0,up,up,0.28,0.45,mv,mv,1.4578,1.1555
1728293400000,330,1,0,up,up,0.14,0.2,mv,mv,0.8098,0.5188
1728293700000,335,1,0,up,up,0.03,0.05,nm,nm,0.174,0.1316
1728294000000,340,1,0,up,up,0.03,0.09,nm,nm,0.1758,0.2368
1728294300000,345,1,0,dn,up,-0.01,0.04,nm,nm,0.0596,0.1017
1728294600000,350,1,0,up,dn,0.07,-0.09,nm,nm,0.5283,0.2262
1728294900000,355,1,0,dn,dn,-0.02,-0.27,nm,mv,0.2067,0.6732
1728295200000,360,1,0,dn,up,-0.14,0.22,mv,mv,2.6148,0.5807
1728295500000,365,1,0,dn,up,-0.11,0.49,nm,mv,1.6541,1.2912
1728295800000,370,1,0,up,up,0.47,0.49,mv,mv,6.3762,1.2907
1728296100000,375,1,0,up,up,0.13,0.18,nm,nm,0.6411,0.49
1728296400000,380,1,0,dn,up,-0.11,0.02,nm,nm,0.5409,0.0504
1728296700000,385,1,0,up,up,0.16,0.22,mv,mv,0.7488,0.5349
1728297000000,390,1,0,dn,dn,-0.03,-0.14,nm,nm,0.1387,0.3649
1728297300000,395,1,0,up,up,0.09,0.04,nm,nm,0.4452,0.1307
1728297600000,400,1,0,dn,dn,-0.2,-0.03,mv,nm,1.0941,0.1168
1728297900000,405,1,0,up,up,0.15,0.02,mv,nm,1.143,0.0785
1728298200000,410,1,0,up,dn,0.02,-0.04,nm,nm,0.1487,0.1637
1728298500000,415,1,0,dn,dn,-0.15,-0.08,mv,nm,1.2148,0.3809
1728298800000,420,1,0,up,dn,0.09,-0.11,nm,nm,0.7268,0.5355
1728299100000,425,1,0,dn,dn,-0.02,-0.015,nm,nm,0.1537,0.073
1728299400000,430,1,0,dn,dn,-0.18,-0.03,mv,nm,1.4546,0.1563
1728299700000,435,1,0,up,up,0.185,0.03,mv,nm,1.5548,0.1545
1728300000000,440,1,0,dn,up,-0.035,0.065,nm,nm,0.2745,0.3335
1728300300000,445,1,0,dn,up,-0.12,0.08,nm,nm,0.9446,0.4087
1728300600000,450,1,0,up,up,0.22,0.27,mv,mv,1.7995,1.3791
1728300900000,455,1,0,dn,up,-0.02,0.24,nm,mv,0.1355,1.2448
1728301200000,460,1,0,up,up,0.07,0.28,nm,mv,0.4744,1.5952
1728301500000,465,1,0,up,up,0.19,0.19,mv,mv,1.564,1.0667
1728301800000,470,1,0,up,up,0.02,0.12,nm,nm,0.1634,0.7803
1728302100000,475,1,0,dn,up,-0.02,0.21,nm,mv,0.17,1.655
1728302400000,480,1,0,up,up,0.12,0.16,mv,nm,1.2496,1.2554
1728302700000,485,1,0,up,up,0.11,0.11,mv,nm,1.4402,0.8598
1728303000000,490,1,0,dn,up,-0.07,0.02,nm,nm,1.0195,0.1572
1728303300000,495,1,0,up,up,0.07,0.032,nm,nm,0.7836,0.2684
1728303600000,500,1,0,up,up,0.02,0.15,nm,nm,0.2913,1.2598
1728303900000,505,1,0,dn,up,-0.058,0.21,nm,mv,0.8448,1.7949
1728304200000,510,1,0,up,up,0.188,0.268,mv,mv,2.5004,2.2972
1728304500000,515,1,0,up,up,0.08,0.01,nm,nm,0.8786,0.0882
1728304800000,520,1,0,dn,dn,0,-0.22,nm,mv,0,2.0413
1728305100000,525,1,1,dn,dn,-0.07,-0.23,nm,mv,0.9112,2.3236
1728305400000,530,1,1,dn,up,-0.15,0.17,mv,mv,1.7105,1.7516
1728305700000,535,1,1,dn,up,-0.01,0.27,nm,mv,0.091,2.2209
1728306000000,540,1,1,up,up,0.33,0.2,mv,mv,3.0772,1.3791
1728306300000,545,1,1,dn,dn,-0.05,-0.09,nm,nm,0.3304,0.6197
1728306600000,550,1,1,dn,up,-0.08,0.16,nm,mv,0.5266,1.0727
1728306900000,555,1,1,up,up,0.04,0.11,nm,nm,0.2572,0.7522
1728307200000,560,1,1,up,up,0.2,0.1931,mv,mv,1.305,1.28
1728307500000,565,1,1,dn,dn,-0.13,-0.26,mv,mv,0.8877,1.7874
1728307800000,570,1,1,up,dn,0.1231,-0.08,mv,nm,0.7532,0.5565
1728308100000,575,1,1,dn,dn,-0.2531,-0.4931,mv,mv,2.1813,3.389
1728308400000,580,1,1,up,dn,0.05,-0.33,nm,mv,0.3245,2.015
1728308700000,585,1,1,dn,up,-0.29,0.27,mv,mv,1.8981,1.6297
1728309000000,590,1,1,dn,up,-0.09,0.43,mv,mv,0.4837,2.0743
1728309300000,595,1,1,up,up,0.65,0.8,mv,mv,4.3691,3.5947
1728309600000,600,1,1,dn,up,-0.13,0.42,mv,mv,0.4144,1.8202
1728309900000,605,1,1,up,up,0.28,0.33,mv,mv,0.8873,1.3308
1728310200000,610,1,1,up,dn,0.27,-0.02,mv,nm,0.8717,0.0662
1728310500000,615,1,1,dn,dn,-0.22,-0.25,mv,mv,0.6937,0.8068
1728310800000,620,1,1,dn,dn,-0.07,-0.27,nm,mv,0.231,0.8576
1728311100000,625,1,1,up,dn,0.04,-0.465,nm,mv,0.133,1.5143
1728311400000,630,1,1,dn,dn,-0.24,-0.39,mv,mv,1.2583,1.265
1728311700000,635,1,1,dn,up,-0.265,0.07,mv,nm,1.2653,0.2193
1728312000000,640,1,1,up,up,0.115,0.255,mv,mv,0.6055,0.7537
1728312300000,645,1,1,up,dn,0.22,-0.27,mv,mv,1.5081,0.773
1728312600000,650,1,1,dn,dn,-0.08,-0.27,nm,mv,0.4504,0.774
1728312900000,655,1,1,dn,up,-0.41,0.23,mv,mv,2.3034,0.6539
1728313200000,660,1,1,up,up,0.22,0.77,mv,mv,0.9984,2.1573
1728313500000,665,1,1,up,up,0.42,0.57,mv,mv,1.7437,1.5898
1728313800000,670,1,1,up,up,0.13,0.13,mv,nm,0.4904,0.3626
1728314100000,675,1,1,up,up,0.02,0.025,nm,nm,0.0753,0.0627
1728314400000,680,1,1,dn,dn,-0.02,-0.32,nm,mv,0.0773,0.8134
1728314700000,685,1,1,up,dn,0.025,-0.3603,nm,mv,0.0982,0.9505
1728315000000,690,1,1,dn,dn,-0.325,-0.37,mv,mv,2.1446,0.9784
1728315300000,695,1,1,dn,dn,-0.0603,-0.045,nm,nm,0.2743,0.1176
1728315600000,700,1,1,up,dn,0.0153,-0.1597,nm,nm,0.1088,0.4544
1728315900000,705,1,1,dn,dn,0,-0.385,nm,mv,0,1.1099
1728316200000,710,1,1,dn,dn,-0.175,-0.625,mv,mv,1.4424,1.863
1728316500000,715,1,1,dn,dn,-0.21,-0.34,mv,mv,1.663,1.0113
1728316800000,720,1,1,dn,up,-0.24,0.095,mv,nm,1.9682,0.278
1728317100000,725,1,1,up,up,0.11,0.43,nm,mv,1.0876,1.1866
1728317400000,730,1,1,up,up,0.225,0.1709,mv,nm,1.7169,0.4797
1728317700000,735,1,1,up,dn,0.095,-0.325,nm,mv,0.5469,0.9278
1728318000000,740,1,1,dn,dn,-0.1491,-0.47,mv,mv,0.8213,1.2815
1728318300000,745,1,1,dn,dn,-0.2709,-0.4659,mv,mv,1.5187,1.2815
1728318600000,750,1,1,dn,dn,-0.05,-0.07,nm,nm,0.2634,0.1914
1728318900000,755,1,1,dn,dn,-0.145,-0.06,mv,nm,0.8624,0.1599
1728319200000,760,1,1,up,up,0.125,0.115,mv,nm,0.7554,0.3027
1728319500000,765,1,1,dn,up,-0.04,0.2,nm,mv,0.2855,0.6301
1728319800000,770,1,1,up,up,0.03,0.24,nm,mv,0.2456,0.895
1728320100000,775,1,1,up,up,0.21,0.2111,mv,mv,1.6732,0.79
1728320400000,780,1,1,dn,up,0,0.065,nm,nm,0,0.2344
1728320700000,785,1,1,up,dn,0.0011,-0.215,nm,mv,0.0097,0.7428
1728321000000,790,1,1,up,dn,0.0639,-0.4511,nm,mv,0.742,1.533
1728321300000,795,1,1,dn,dn,-0.28,-0.5362,mv,mv,3.4739,1.8544
1728321600000,800,1,1,dn,dn,-0.235,-0.275,mv,mv,1.6128,0.9461
1728321900000,805,1,1,dn,dn,-0.0212,-0.0999,nm,nm,0.1251,0.3307
1728322200000,810,1,1,dn,dn,-0.0188,-0.2188,nm,mv,0.1448,0.7019
1728322500000,815,1,1,dn,dn,-0.0599,-0.09,nm,nm,0.4675,0.3111
1728322800000,820,1,1,dn,up,-0.1401,0.1599,mv,nm,1.1345,0.5649
1728323100000,825,1,1,up,dn,0.11,-0.5501,nm,mv,1.0766,1.9548
1728323400000,830,1,1,up,dn,0.19,-0.605,mv,mv,1.77,2.4123
1728323700000,835,1,1,dn,dn,-0.8501,-0.56,mv,mv,7.7809,2.2392
1728324000000,840,1,1,up,up,0.0551,0.0701,nm,nm,0.1618,0.2647
1728324300000,845,1,1,up,dn,0.235,-0.025,mv,nm,0.68,0.0906
1728324600000,850,1,1,dn,dn,-0.22,-0.32,mv,mv,0.5943,1.1323
1728324900000,855,1,1,dn,dn,-0.04,-1.04,nm,mv,0.107,3.6279
1728325200000,860,1,1,dn,dn,-0.06,-1.1,nm,mv,0.1642,3.8281
1728325500000,865,1,1,dn,dn,-0.94,-1.34,mv,mv,2.7414,4.7361
1728325800000,870,1,1,dn,dn,-0.1,-1.56,nm,mv,0.2675,4.6991
1728326100000,875,1,1,dn,dn,-0.3,-1.37,mv,mv,0.826,3.7479
1728326400000,880,1,1,dn,dn,-1.16,-1.3601,mv,mv,3.7376,3.2983
1728326700000,885,1,1,up,up,0.09,0.14,nm,nm,0.2006,0.2949
1728327000000,890,1,1,dn,up,-0.2901,0.7897,mv,mv,0.6175,1.5473
1728327300000,895,1,1,up,up,0.3401,0.8101,mv,mv,0.7585,1.4946
1728327600000,900,1,1,up,up,0.7397,0.7,mv,mv,1.5786,1.2323
1728327900000,905,1,1,dn,up,-0.2697,0.1553,mv,nm,0.4522,0.2407
1728328200000,910,1,1,up,up,0.23,0.22,mv,nm,0.3867,0.3109
1728328500000,915,1,1,up,dn,0.195,-0.495,mv,mv,0.5468,0.6563
1728328800000,920,1,1,dn,dn,-0.205,-0.685,mv,mv,0.5753,0.899
1728329100000,925,1,1,dn,dn,-0.485,-0.675,mv,mv,1.4285,0.8829
1728329400000,930,1,1,up,dn,0.005,-0.045,nm,nm,0.0124,0.0589
1728329700000,935,1,1,dn,up,-0.195,0.8099,mv,mv,0.7608,1.0581
1728330000000,940,1,1,up,up,0.145,0.605,nm,mv,0.5826,0.7884
1728330300000,945,1,0,up,up,0.8599,0.54,mv,mv,3.6905,0.7069
1728330600000,950,1,0,dn,dn,-0.3999,-0.2099,mv,nm,0.9456,0.2594
1728330900000,955,1,0,up,up,0.08,0.15,nm,nm,0.1794,0.1789
1728331200000,960,1,0,up,up,0.11,0.12,nm,nm,0.2803,0.1429
1728331500000,965,1,0,dn,up,-0.04,0.02,nm,nm,0.1023,0.0246
1728331800000,970,1,0,up,up,0.05,0.051,nm,nm,0.1332,0.0669
1728332100000,975,1,0,up,up,0.01,0.1,nm,nm,0.0266,0.1486
1728332400000,980,1,0,dn,up,-0.009,0.3185,nm,nm,0.0525,0.5454
1728332700000,985,1,0,up,up,0.099,0.359,nm,mv,1.9143,0.7682
1728333000000,990,1,0,up,up,0.2285,0.14,mv,nm,4.1585,0.2994
1728333300000,995,1,0,up,dn,0.0315,-0.0685,nm,nm,0.3552,0.1541
1728333600000,1000,1,0,dn,dn,-0.12,-0.32,nm,nm,1.5145,0.766
1728333900000,1005,1,0,up,dn,0.02,-0.41,nm,mv,0.1879,1.0432
1728334200000,1010,1,0,dn,dn,-0.22,-0.31,mv,nm,2.0746,0.7867
1728334500000,1015,1,0,dn,dn,-0.21,-0.05,mv,nm,1.4494,0.1244
1728334800000,1020,1,0,up,up,0.12,0.17,nm,nm,0.7631,0.4292
1728335100000,1025,1,0,up,up,0.04,0.08,nm,nm,0.3117,0.2186
1728335400000,1030,1,0,up,up,0.01,0.0483,nm,nm,0.0773,0.1505
1728335700000,1035,1,0,up,dn,0.03,-0.06,nm,nm,0.2331,0.1879
1728336000000,1040,1,0,up,dn,0.0083,-0.05,nm,nm,0.0641,0.1847
1728336300000,1045,1,0,dn,up,-0.0983,0.0017,nm,nm,0.9736,0.0072
1728336600000,1050,1,0,up,up,0.04,0.01,nm,nm,0.6232,0.0487
1728336900000,1055,1,0,up,dn,0.06,-0.03,nm,nm,1.2519,0.1508
1728337200000,1060,1,0,dn,up,-0.09,0.12,nm,nm,1.7699,0.6112
1728337500000,1065,1,0,dn,up,0,0.0015,nm,nm,0,0.0077
1728337800000,1070,1,0,up,dn,0.21,-0.0565,mv,nm,3.4708,0.2905
1728338100000,1075,1,0,dn,dn,-0.2085,-0.2,mv,nm,2.0095,1.0195
1728338400000,1080,1,0,dn,dn,-0.058,-0.0015,nm,nm,0.4474,0.0077
1728338700000,1085,1,0,up,dn,0.0665,-0.1016,nm,nm,0.5116,0.5687
1728339000000,1090,1,0,dn,dn,-0.01,-0.19,nm,nm,0.0765,1.2125
1728339300000,1095,1,0,dn,dn,-0.1581,-1.56,nm,mv,1.2534,10.3896
1728339600000,1100,1,0,dn,dn,-0.0219,-0.4919,nm,mv,0.1573,3.2703
1728339900000,1105,1,0,dn,dn,-1.38,-0.47,mv,mv,14.8977,3.3386
1728340200000,1110,1,0,up,up,0.91,0.93,mv,mv,1.8013,2.5377
1728340500000,1115,1,0,dn,dn,0,-0.25,nm,nm,0,0.6685
1728340800000,1120,1,0,up,dn,0.02,-0.44,nm,mv,0.0299,1.1542
1728341100000,1125,1,0,dn,up,-0.27,0.01,mv,nm,0.4031,0.0222
1728341400000,1130,1,0,dn,up,-0.19,0.87,nm,mv,0.2825,1.9372
1728341700000,1135,1,0,up,up,0.47,0.73,mv,mv,0.7001,1.6143
1728342000000,1140,1,0,up,up,0.59,0.55,mv,mv,1.4372,1.2132
1728342300000,1145,1,0,dn,dn,-0.33,-0.21,mv,nm,1.0313,0.4114
1728342600000,1150,1,0,up,up,0.29,0.05,mv,nm,0.8078,0.0918
1728342900000,1155,1,0,dn,dn,-0.17,-0.49,nm,mv,0.4602,0.8711
1728343200000,1160,1,0,dn,dn,-0.07,-0.26,nm,mv,0.1974,0.461
1728343500000,1165,1,0,dn,up,-0.25,0.01,mv,nm,0.7349,0.0178
1728343800000,1170,1,0,up,up,0.06,0.19,nm,nm,0.1842,0.3322
1728344100000,1175,1,0,up,up,0.2,0.44,mv,mv,0.9681,0.7671
1728344400000,1180,1,0,dn,up,-0.07,0.04,nm,nm,0.3628,0.0698
1728344700000,1185,1,0,up,up,0.31,0.52,mv,mv,2.1077,0.9024
1728345000000,1190,1,0,dn,up,-0.2,0.34,mv,mv,1.0778,0.5788
1728345300000,1195,1,0,up,up,0.41,0.69,mv,mv,2.022,1.1768
1728345600000,1200,1,0,up,up,0.13,0.31,nm,mv,0.6143,0.6689
1728345900000,1205,1,0,up,up,0.15,0.22,nm,nm,0.7143,0.496
1728346200000,1210,1,0,up,up,0.03,0.11,nm,nm,0.1442,0.2534
1728346500000,1215,1,0,up,up,0.04,0.23,nm,nm,0.2044,0.5772
1728346800000,1220,1,0,up,up,0.04,0.03,nm,nm,0.2203,0.0779
1728347100000,1225,1,0,up,dn,0.15,-0.25,nm,mv,1.1343,0.7065
1728347400000,1230,1,0,dn,dn,-0.16,-0.34,nm,mv,2.9711,0.9718
1728347700000,1235,1,0,dn,dn,-0.24,-0.07,mv,nm,2.3187,0.2206
1728348000000,1240,1,0,up,dn,0.06,0,nm,nm,0.4503,0
1728348300000,1245,1,0,up,up,0.11,0.13,nm,nm,0.8106,0.4244
1728348600000,1250,1,0,dn,dn,-0.17,-0.25,nm,mv,1.1886,0.8325
1728348900000,1255,1,0,up,dn,0.19,-0.12,mv,nm,1.2444,0.3987
1728349200000,1260,1,0,dn,dn,-0.27,-0.89,mv,mv,1.6715,3.3543
1728349500000,1265,1,0,dn,dn,-0.04,-0.47,nm,mv,0.2224,1.7768
1728349800000,1270,1,0,dn,dn,-0.58,-0.93,mv,mv,3.6345,3.4516
1728350100000,1275,1,0,up,dn,0.15,-0.15,nm,nm,0.587,0.4229
1728350400000,1280,1,0,dn,up,-0.5,0.25,mv,mv,1.9081,0.6903
1728351000000,1290,1,0,up,up,0.2,0.66,mv,mv,0.6693,1.5661
1728351600000,1300,1,0,up,up,0.55,0.37,mv,mv,1.828,0.9268
1728351900000,1305,1,0,dn,dn,-0.09,-0.25,nm,nm,0.2268,0.6337
1728352200000,1310,1,0,dn,dn,-0.09,-0.36,nm,mv,0.2265,0.9201
1728352500000,1315,1,0,dn,dn,-0.07,-0.19,nm,nm,0.2172,0.4812
1728352800000,1320,1,0,dn,dn,-0.2,-0.06,mv,nm,0.6254,0.154
1728353100000,1325,1,0,up,up,0.08,0.3,nm,mv,0.3144,0.7696
1728353400000,1330,1,0,up,up,0.06,0.12,nm,nm,0.2434,0.316
1728353700000,1335,1,0,up,dn,0.16,-0.09,nm,nm,1.6699,0.2382
1728354000000,1340,1,0,dn,dn,-0.1,-0.2,nm,nm,0.8257,0.5108
1728354300000,1345,1,0,dn,up,-0.15,0.14,nm,nm,1.2269,0.357
1728354600000,1350,1,0,up,up,0.05,0.21,nm,nm,0.3791,0.5357
1728354900000,1355,1,0,up,up,0.24,0.42,mv,mv,2.2391,1.0723
1728355200000,1360,1,0,dn,up,-0.08,0.07,nm,nm,0.5894,0.1786
1728355500000,1365,1,0,up,up,0.26,0.06,mv,nm,1.8219,0.1509
1728355800000,1370,1,0,dn,dn,-0.11,-0.04,nm,nm,0.6767,0.0965
1728356100000,1375,1,0,dn,dn,-0.09,-0.13,nm,nm,0.5488,0.3582
1728356400000,1380,1,0,up,dn,0.16,-0.02,mv,nm,1.0395,0.0579
1728357600000,1400,1,0,dn,dn,-0.2,-0.17,mv,nm,1.2511,0.6574
1728357900000,1405,1,0,up,up,0.02,0.12,nm,nm,0.1228,0.4657
1728358200000,1410,1,0,up,up,0.01,0.16,nm,nm,0.0625,0.6282
1728358500000,1415,1,0,up,dn,0.09,-0.19,nm,nm,0.7846,0.8925
1728358800000,1420,1,0,up,dn,0.06,-0.42,nm,mv,0.5124,2.1377
1728359100000,1425,1,0,dn,dn,-0.34,-0.27,mv,mv,3.0506,1.4189
1728359400000,1430,1,0,dn,up,-0.14,0.07,mv,nm,0.8969,0.4004
1728359700000,1435,1,0,up,up,0.21,0.34,mv,mv,1.4137,1.7233
1728360000000,0,1,0,dn,up,0,0.13,nm,nm,0,0.6269
1728360300000,5,1,0,up,up,0.13,0.01,mv,nm,0.7332,0.0512
1728360900000,15,1,0,dn,dn,0,-0.12,nm,nm,0,0.5727
1728361200000,20,1,0,dn,up,-0.12,0.24,mv,mv,0.6692,1.1421
1728362100000,35,1,0,dn,up,0,0.19,nm,mv,0,0.9333
1728362400000,40,1,0,up,dn,0.36,-0.22,mv,mv,3.3983,1.0769
1728363300000,55,1,0,dn,dn,-0.17,-0.57,mv,mv,1.1206,2.767
1728363600000,60,2,0,dn,dn,-0.41,-0.39,mv,mv,2.3468,2.0892
1728363900000,65,2,0,up,up,0.01,0.07,nm,nm,0.0432,0.3636
1728364200000,70,2,0,up,up,0.01,0.03,nm,nm,0.0431,0.1307
1728364500000,75,2,0,up,up,0.05,0.1,nm,nm,0.2165,0.4126
1728364800000,80,2,0,dn,up,-0.03,0.17,nm,nm,0.1288,0.6971
1728365100000,85,2,0,up,up,0.08,0.03,nm,nm,0.5026,0.1227
1728365700000,95,2,0,up,dn,0.12,-0.16,mv,nm,0.7256,0.6522
1728366000000,100,2,0,dn,dn,-0.17,-0.2,mv,mv,3.4229,0.8084
1728366300000,105,2,0,dn,dn,-0.11,-0.05,nm,nm,1.1748,0.2054
1728366600000,110,2,0,up,dn,0.08,-0.19,nm,mv,0.771,0.7835
1728366900000,115,2,0,dn,dn,-0.02,-0.32,nm,mv,0.1866,1.4016
1728368100000,135,2,0,dn,up,-0.25,0.12,mv,nm,2.3392,0.5431
1728368400000,140,2,0,dn,up,-0.05,0.15,nm,nm,0.3793,0.6721
1728368700000,145,2,0,up,dn,0.42,-0.06,mv,nm,3.953,0.2818
1728369000000,150,2,0,dn,dn,-0.22,-0.08,mv,nm,1.0579,0.3767
1728369300000,155,2,0,dn,dn,-0.26,-0.14,mv,mv,1.1699,0.6432
1728370800000,180,2,0,up,dn,0.4,-0.05,mv,nm,1.696,0.2302
1728371100000,185,2,0,dn,dn,-0.28,-0.4,mv,mv,0.9537,1.9534
1728371400000,190,2,0,dn,up,-0.17,0.22,mv,mv,0.5702,1.1305
1728371700000,195,2,0,up,up,0.05,0.55,nm,mv,0.164,2.8584
1728372000000,200,2,0,up,up,0.34,0.89,mv,mv,1.413,5.1914
1728372300000,205,2,0,up,up,0.16,0.96,mv,mv,0.583,5.7744
1728372600000,210,2,0,up,up,0.39,0.48,mv,mv,1.5719,2.245
1728372900000,215,2,0,up,dn,0.41,-0.03,mv,nm,1.6667,0.1006
1728373200000,220,2,0,dn,dn,-0.32,-0.44,mv,mv,1.5351,1.2013
1728373500000,225,2,0,dn,up,-0.12,0.05,mv,nm,0.471,0.1325
1728373800000,230,2,0,dn,dn,0,-0.08,nm,nm,0,0.2116
1728374100000,235,2,0,up,dn,0.17,-0.08,mv,nm,0.6444,0.2032
1728374400000,240,2,0,dn,up,-0.25,0.11,mv,nm,0.9459,0.2836
1728374700000,245,2,0,dn,dn,0,0,nm,nm,0,0
1728375000000,250,2,0,up,up,0.36,0.04,mv,nm,2.1833,0.1039
1728375300000,255,2,0,dn,dn,-0.36,-0.38,mv,mv,1.8342,1.0229
1728375600000,260,2,0,up,up,0.04,0.34,nm,mv,0.1657,0.9127
1728375900000,265,2,0,dn,up,-0.06,0.39,nm,mv,0.2477,1.0462
1728376200000,270,2,0,up,up,0.36,0.56,mv,mv,1.5718,1.4444
1728376500000,275,2,0,up,up,0.09,0.22,nm,mv,0.3601,0.565
1728377100000,285,2,0,up,up,0.11,0.75,nm,mv,0.4422,1.9272
1728377400000,290,2,0,up,up,0.02,0.65,nm,mv,0.0927,1.6357
1728377700000,295,2,0,up,up,0.62,0.46,mv,mv,4.729,1.2367
